maintenance_id|equipment_id|equipment_name|department_id|ward_id|maintenance_date|status|downtime_hours|maintenance_cost
480|73|Ventilator|4|45|2021-03-21|Down|32|8901
481|151|ICU Monitor|9|45|2020-01-02|Operational|41|12545
482|126|ICU Monitor|4|14|2021-11-24|Operational|1|10217
483|142|MRI|9|11|2020-10-25|Down|32|11265
484|125|ICU Monitor|3|37|2024-03-31|Operational|62|2080
485|64|MRI|15|3|2020-11-24|Operational|71|18063
486|98|Ultrasound|20|46|2020-12-30|Down|10|12158
487|114|Ventilator|15|13|2021-03-12|Down|67|12277
488|75|MRI|10|17|2023-08-19|Down|19|5342
489|37|MRI|16|40|2020-03-24|Down|13|3938
490|57|Ventilator|17|48|2022-02-26|Operational|51|7091
491|56|MRI|7|20|2024-12-24|Operational|53|517
492|38|MRI|11|36|2024-04-16|Operational|39|8603
493|46|ICU Monitor|4|39|2020-11-03|Down|37|19460
494|38|ICU Monitor|6|50|2024-07-11|Down|52|1072
495|58|XRay|18|17|2023-07-11|Down|25|16560
496|94|ECG|7|8|2021-02-28|Down|70|1274
497|53|XRay|3|8|2023-05-15|Operational|49|3963
498|8|ECG|2|34|2020-07-26|Down|66|1588
499|176|ICU Monitor|3|30|2022-11-27|Operational|57|7345
500|192|MRI|20|46|2021-05-21|Down|56|4745
